source,destination,flow
Hubei,Qinghai,466507
Hubei,Shaanxi,1227440
Hubei,Shandong,2933305
Hubei,Shanghai,3885247
Hubei,Shanxi,1104777
Hubei,Sichuan,2384164
Hubei,Taiwan,252461
Hubei,Tianjin,1116928
Hubei,Tibet,122134
Hubei,Xinjiang,1125407
Hubei,Yunnan,3504625
Hubei,Zhejiang,4064039
Hunan,Anhui,52854
Hunan,Beijing,5383882
Hunan,Chongqing,2124394
Hunan,Fujian,2524009
Hunan,Gansu,1110459
Hunan,Guangdong,3704944
Hunan,Guangxi,1674003
Hunan,Guizhou,843401
Hunan,Hainan,4555717
Hunan,Hebei,157145
Hunan,Heilongjiang,1044909
Hunan,Henan,243468
Hunan,Hong Kong,50912
Hunan,Hubei,96602
Hunan,Hunan,1029213
Hunan,Inner Mongolia,890447
Hunan,Jiangsu,3971533
Hunan,Jiangxi,1069368
Hunan,Jilin,648107
Hunan,Liaoning,1644594
Hunan,Macau,18623
Hunan,Ningxia,723482
Hunan,Qinghai,613521
Hunan,Shaanxi,2641002
Hunan,Shandong,3649131
Hunan,Shanghai,4617272
Hunan,Shanxi,1471559
Hunan,Sichuan,2562339
Hunan,Taiwan,320613
Hunan,Tianjin,1722140
Hunan,Tibet,136553
Hunan,Xinjiang,1060849
Hunan,Yunnan,4157995
Hunan,Zhejiang,3298304
Inner Mongolia,Anhui,523241
Inner Mongolia,Beijing,5909622
Inner Mongolia,Chongqing,723500
Inner Mongolia,Fujian,621994
Inner Mongolia,Gansu,495450
Inner Mongolia,Guangdong,2042262
Inner Mongolia,Guangxi,273533
Inner Mongolia,Guizhou,426482
Inner Mongolia,Hainan,1060533
Inner Mongolia,Hebei,1108766
Inner Mongolia,Heilongjiang,1494886
Inner Mongolia,Henan,2315839
Inner Mongolia,Hong Kong,20917
Inner Mongolia,Hubei,993711
Inner Mongolia,Hunan,898359
Inner Mongolia,Inner Mongolia,15814719
Inner Mongolia,Jiangsu,1694235
Inner Mongolia,Jiangxi,601761
Inner Mongolia,Jilin,391125
Inner Mongolia,Liaoning,1705621
Inner Mongolia,Macau,2316
Inner Mongolia,Ningxia,305936
Inner Mongolia,Qinghai,186049
Inner Mongolia,Shaanxi,2292019
Inner Mongolia,Shandong,2047526
