Dep State Name,Arr State Name,Total Est. Pax,Time Series
Florida,Kentucky,85618,2020-01
Florida,Louisiana,124638,2020-01
Florida,Maine,47332,2020-01
Florida,Maryland,319794,2020-01
Florida,Massachusetts,473621,2020-01
Florida,Michigan,485795,2020-01
Florida,Minnesota,320462,2020-01
Florida,Mississippi,16478,2020-01
Florida,Missouri,254914,2020-01
Florida,Montana,15032,2020-01
Florida,Nebraska,47532,2020-01
Florida,Nevada,180365,2020-01
Florida,New Hampshire,35397,2020-01
Florida,New Jersey,81837,2020-01
Florida,New Mexico,24342,2020-01
Florida,New York,2013033,2020-01
Florida,North Carolina,422895,2020-01
Florida,North Dakota,16415,2020-01
Florida,Ohio,532453,2020-01
Florida,Oklahoma,47182,2020-01
Florida,Oregon,49876,2020-01
Florida,Pennsylvania,710820,2020-01
Florida,Rhode Island,110143,2020-01
Florida,South Carolina,76787,2020-01
Florida,South Dakota,17423,2020-01
Florida,Tennessee,284575,2020-01
Florida,Texas,708526,2020-01
Florida,Utah,78084,2020-01
Florida,Vermont,19974,2020-01
Florida,Virginia,149801,2020-01
Florida,Washington,113079,2020-01
Florida,West Virginia,18182,2020-01
Florida,Wisconsin,172433,2020-01
Florida,Wyoming,5979,2020-01
Georgia,Alabama,21367,2020-01
Georgia,Alaska,3100,2020-01
Georgia,Arizona,51954,2020-01
Georgia,Arkansas,14600,2020-01
Georgia,California,227895,2020-01
Georgia,Colorado,84190,2020-01
Georgia,Connecticut,16178,2020-01
Georgia,District Of Columbia,99981,2020-01
Georgia,Florida,472669,2020-01
Georgia,Georgia,34349,2020-01
Georgia,Hawaii,11328,2020-01
Georgia,Idaho,4113,2020-01
Georgia,Illinois,128878,2020-01
Georgia,Indiana,33492,2020-01
Georgia,Iowa,8337,2020-01
Georgia,Kansas,5733,2020-01
Georgia,Kentucky,19252,2020-01
Georgia,Louisiana,53494,2020-01
Georgia,Maine,4239,2020-01
Georgia,Maryland,65017,2020-01
Georgia,Massachusetts,69847,2020-01
Georgia,Michigan,64974,2020-01
Georgia,Minnesota,42981,2020-01
Georgia,Mississippi,15394,2020-01
Georgia,Missouri,55172,2020-01
Georgia,Montana,5177,2020-01
Georgia,Nebraska,7713,2020-01
Georgia,Nevada,79600,2020-01
Georgia,New Hampshire,2291,2020-01
Georgia,New Jersey,118,2020-01
Georgia,New Mexico,5689,2020-01
Georgia,New York,309016,2020-01
Georgia,North Carolina,100512,2020-01
Georgia,North Dakota,2466,2020-01
Georgia,Ohio,83628,2020-01
Georgia,Oklahoma,13524,2020-01
Georgia,Oregon,14556,2020-01
Georgia,Pennsylvania,108026,2020-01
Georgia,Rhode Island,7310,2020-01
Georgia,South Carolina,34903,2020-01
Georgia,South Dakota,1854,2020-01
Georgia,Tennessee,57737,2020-01
Georgia,Texas,259619,2020-01
Georgia,Utah,29321,2020-01
Georgia,Vermont,2562,2020-01
