source,destination,flow
Iowa,Tennessee,184240
Iowa,Texas,592729
Iowa,Utah,90321
Iowa,Vermont,9015
Iowa,Virginia,68588
Iowa,Washington,152335
Iowa,West Virginia,5829
Iowa,Wisconsin,85178
Iowa,Wyoming,16056
Kansas,Alabama,26498
Kansas,Alaska,11571
Kansas,Arizona,189542
Kansas,Arkansas,10967
Kansas,California,364566
Kansas,Colorado,333025
Kansas,Connecticut,13006
Kansas,District of Columbia,79312
Kansas,Florida,396991
Kansas,Georgia,141839
Kansas,Hawaii,29071
Kansas,Idaho,20152
Kansas,Illinois,196013
Kansas,Indiana,36222
Kansas,Iowa,25424
Kansas,Kansas,14563
Kansas,Kentucky,17512
Kansas,Louisiana,45829
Kansas,Maine,5982
Kansas,Maryland,33793
Kansas,Massachusetts,41074
Kansas,Michigan,54447
Kansas,Minnesota,77810
Kansas,Mississippi,12644
Kansas,Missouri,156190
Kansas,Montana,21684
Kansas,Nebraska,6225
Kansas,Nevada,182388
Kansas,New Hampshire,2257
Kansas,New Jersey,11
Kansas,New Mexico,15981
Kansas,New York,118359
Kansas,North Carolina,84957
Kansas,North Dakota,14900
Kansas,Ohio,71276
Kansas,Oklahoma,9537
Kansas,Oregon,50914
Kansas,Pennsylvania,75535
Kansas,Rhode Island,4473
Kansas,South Carolina,40152
Kansas,South Dakota,8894
Kansas,Tennessee,63714
Kansas,Texas,473136
Kansas,Utah,49165
Kansas,Vermont,2767
Kansas,Virginia,35880
Kansas,Washington,141072
Kansas,West Virginia,2294
Kansas,Wisconsin,38816
Kansas,Wyoming,9644
Kentucky,Alabama,65641
Kentucky,Alaska,17330
Kentucky,Arizona,241639
Kentucky,Arkansas,56167
Kentucky,California,623699
Kentucky,Colorado,280199
Kentucky,Connecticut,56924
Kentucky,District of Columbia,290924
Kentucky,Florida,2194581
Kentucky,Georgia,448320
Kentucky,Hawaii,47110
Kentucky,Idaho,19351
Kentucky,Illinois,616051
Kentucky,Indiana,13404
Kentucky,Iowa,43819
Kentucky,Kansas,18507
Kentucky,Kentucky,988
Kentucky,Louisiana,151741
Kentucky,Maine,32257
Kentucky,Maryland,311299
Kentucky,Massachusetts,119825
Kentucky,Michigan,257547
Kentucky,Minnesota,149571
Kentucky,Mississippi,41288
Kentucky,Missouri,202590
Kentucky,Montana,29718
Kentucky,Nebraska,37700
Kentucky,Nevada,276592
Kentucky,New Hampshire,23528
Kentucky,New Jersey,77
Kentucky,New Mexico,31523
Kentucky,New York,561094
Kentucky,North Carolina,326171
Kentucky,North Dakota,13736
Kentucky,Ohio,70676
Kentucky,Oklahoma,70586
Kentucky,Oregon,68478
Kentucky,Pennsylvania,276731
Kentucky,Rhode Island,38214
Kentucky,South Carolina,169172
Kentucky,South Dakota,18637
Kentucky,Tennessee,118767
Kentucky,Texas,831234
Kentucky,Utah,81449
Kentucky,Vermont,12206
Kentucky,Virginia,130158
Kentucky,Washington,135804
Kentucky,West Virginia,2151
Kentucky,Wisconsin,89787
Kentucky,Wyoming,10748
Louisiana,Alabama,129617
Louisiana,Alaska,48904
Louisiana,Arizona,441601
Louisiana,Arkansas,112295
Louisiana,California,2426611
Louisiana,Colorado,1072381
Louisiana,Connecticut,110272
Louisiana,District of Columbia,733285
Louisiana,Florida,3083918
Louisiana,Georgia,1245606
Louisiana,Hawaii,87631
Louisiana,Idaho,50555
Louisiana,Illinois,1131325
Louisiana,Indiana,212500
Louisiana,Iowa,69307
Louisiana,Kansas,45026
Louisiana,Kentucky,154273
Louisiana,Louisiana,41125
Louisiana,Maine,63756
Louisiana,Maryland,613554
Louisiana,Massachusetts,501557
Louisiana,Michigan,553657
Louisiana,Minnesota,356589
Louisiana,Mississippi,14834
Louisiana,Missouri,515786
Louisiana,Montana,81846
Louisiana,Nebraska,86034
Louisiana,Nevada,789364
Louisiana,New Hampshire,33925
Louisiana,New Jersey,658
Louisiana,New Mexico,92115
Louisiana,New York,1971543
Louisiana,North Carolina,811248
Louisiana,North Dakota,41884
Louisiana,Ohio,580543
Louisiana,Oklahoma,167727
Louisiana,Oregon,194459
Louisiana,Pennsylvania,814134
Louisiana,Rhode Island,73969
Louisiana,South Carolina,245229
Louisiana,South Dakota,31396
Louisiana,Tennessee,690665
Louisiana,Texas,4128350
Louisiana,Utah,212170
Louisiana,Vermont,21746
Louisiana,Virginia,310191
Louisiana,Washington,484423
Louisiana,West Virginia,29989
Louisiana,Wisconsin,190710
Louisiana,Wyoming,41287
Maine,Alabama,29211
